SMILES,"Blood-Brain-Barrier Penetration"
C([C@@H]1C(N[C@@H](Cc2c[nH]cn2)C(N[C@@H](C(N[C@H](C(=O)N[C@H](C(N[C@@H](C(N[C@H](C(N1)=O)[C@H](CC)C)=O)CCCN)=O)CCCCNC([C@@H](NC([C@H](NC([C@@H](NC([C@H]1N=C([C@@H]([C@@H](CC)C)N)SC1)=O)CC(C)C)=O)CCC(O)=O)=O)[C@H](CC)C)=O)CC(N)=O)=O)CC(O)=O)=O)=O)c1ccccc1,nonpenetrating
C([N+](C)(C)C)[C@@H](OC(N)=O)C,nonpenetrating
c1(c(cccc1)Br)C[N+](CC)(C)C,nonpenetrating
N12[C@](C3N(CCC3)C([C@@H]2CC(C)C)=O)(O[C@](C1=O)(NC([C@@H]1C=C2c3c4c(c(Br)[nH]c4ccc3)C[C@H]2[N@@](C1)C)=O)C(C)C)O,nonpenetrating
c12[C@]34[C@@]56[C@H]([N@@](CC7CC7)CC4)Cc2ccc(c1O[C@H]3[C@](OC)([C@H](C5)[C@](C(C)(C)C)(C)O)CC6)O,penetrating
c1(C([C@@H](NC(C)(C)C)C)=O)cc(ccc1)Cl,penetrating
O(S(C)(=O)=O)CCCCOS(C)(=O)=O,penetrating
N12[C@@H]([C@@H](NC([C@H](c3ccccc3)C(=O)O)=O)[C-]2=O)SC([C@@H]1C(=O)O)(C)C,penetrating
N(C(NCCCl)=O)(CCCl)N=O,penetrating
N12[C@H]([C@@H](NC([C@H](C=3CC=CCC3)N)=O)C1=O)SCC(=C2C(O)=O)C,nonpenetrating
C1([C@H]([C@H](NC(C(Cl)Cl)=O)CO)O)CCC([N+](=O)=[O-])C[CH+]1,penetrating
c12c(nccc1N[C@@H](CCCN(CC)CC)C)cc(Cl)cc2,penetrating
c12c(cc(Cl)c(c1)S(N)(=O)=O)N=CNS2(=O)=O,nonpenetrating
c1(c(cc(N)c(c1)Cl)OC)C(N[C@@H]1[C@H](C[N@@](CCCOc2ccc(F)cc2)CC1)OC)=O,penetrating
n1(c2c(c(nc(n2)Cl)N)nc1)[C@@H]1O[C@H](CO)C(C1)O,penetrating
C(c1ccccc1)([C+]1CCCCC1)(C(O[C@@H]1C2CC[N+](C1)(C)CC2)=O)O,nonpenetrating
n1(c2c(nc3c1cccc3)cc(Nc1ccc(Cl)cc1)c(\c2)=N/C(C)C)c1ccc(Cl)cc1,nonpenetrating
N1(c2c(CCc3c1cccc3)ccc(c2)Cl)CCCN(C)C,penetrating
c12c3c([C@@H](NC(C)=O)CCc2cc(c(c1OC)OC)OC)cc(=O)c(cc3)OC,nonpenetrating
c12c(oc(C(=O)O)cc2=O)cccc1[O-]CC(COc1c2c(oc(C(=O)O)cc2=O)ccc1)O,nonpenetrating
C1([C@@H](CON1)N)=O,penetrating
[c-]12c(nc[n+]1COC(CO)CO)c(=[O-])[nH]c(n2)N,penetrating
c12c(cc(Cl)c(c1)S(N)(=O)=O)NCNS2(=O)=O,nonpenetrating
C(NO)(N)=O,penetrating
[N+]1([C@H]2CC(OC([C@H](c3ccccc3)CO)=O)C[C@@H]1CC2)(C(C)C)C,nonpenetrating
c1(C(NN)=O)ccncc1,penetrating
c1([C@]2(O[C@H](COc3ccc(N4CCN(c5ccc(n6c(n([C@@H](CC)C)nc6)=O)cc5)CC4)cc3)CO2)Cn2cncn2)c(cc(Cl)cc1)Cl,nonpenetrating
C1([C@@H](O[C@H]2O[C@@H]([C@@H](O)[C@@H]([C@H]2O)N)CO)[C@@H](C[C@@H]([C@H]1O[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CN)N)N)O,nonpenetrating
c1([C@@]2(O[C@@H](COc3ccc(N4CCN(C(C)=O)CC4)cc3)CO2)Cn2ccnc2)c(cc(Cl)cc1)Cl,nonpenetrating
c1(cc(ccc1)[C@@H](C(O)=O)C)C(c1ccccc1)=O,penetrating
n12c([C@H](C(O)=O)CC2)ccc1C(c1ccccc1)=O,nonpenetrating
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2[C@@H](C)CO3)=O,penetrating
O[C@@H]([C@@H]([C@@H](CO)O)O)[C@@H](CO)O,nonpenetrating
[C+](c1ccccc1)(c1ccccc1)(C(O[C@@H]1C[N+](CCC1)(C)C)=O)O,nonpenetrating
c1(cc(ccc1)O)[C@H]([C@H](C)N)O,nonpenetrating
c12c(ncc(n1)CN(c1ccc(C(N[C@@H](CCC(O)=O)C(O)=O)=O)cc1)C)nc(N)nc2N,nonpenetrating
c1(ccc(CCOC)cc1)OC[C@@H](CNC(C)C)O,penetrating
n1(c(cnc1C)[N+](=O)=[O-])CCO,penetrating
C1=2[C@H]([C@H]3[C@]([C@@](C#CC)(O)CC3)(C)C[C@@H]1c1ccc(N(C)C)cc1)CCC=1C2CCC(C1)=O,nonpenetrating
C1[C@@H]2[C@](C(=C3C(c4c(ccc(c4C[C@@H]13)N(C)C)O)=O)O)(C(C(C(N)=O)=C([C@H]2N(C)C)O)=O)O,penetrating
c1(C(NCCN2CCOCC2)=O)ccc(Cl)cc1,penetrating
C1(c2c(Oc3c1cccc3)cccc2)C(OCC[N+](C(C)C)(C(C)C)C)=O,nonpenetrating
c1(cnccn1)C(N)=O,penetrating
c1(OC(N(C)C)=O)c[n+](ccc1)C,penetrating
c1(c2ccc(Cl)cc2)c(nc(N)nc1N)CC,penetrating
c12c([C@H]([C@H]3[N@@]4C[C@H](C=C)[C@H](C3)CC4)O)ccnc1ccc(c2)OC,nonpenetrating
n1([C@@H]2O[C@H](CO)[C@H]([C@H]2O)O)nc(C(N)=O)cn1,penetrating
C([C@@H](C[C@@H]([C@H](Cc1ccccc1)NC(OCc1cncs1)=O)O)NC([C@@H](NC(N(Cc1nc(C(C)C)sc1)C)=O)C(C)C)=O)c1ccccc1,nonpenetrating
C1[N@]([C@@H](C[C@@H]2CCCC[C@H]12)C(NC(C)(C)C)=O)C[C@H]([C@H](Cc1ccccc1)NC([C@@H](NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,nonpenetrating
C(C(F)(F)F)(C(F)(F)F)OCF,penetrating
C1(C(C(C(I)[C-](C1I)NC(C)=O)C(=O)O)I)NC(C)=O,nonpenetrating
c1([C@@H](CNC(C)C)O)ccc(NS(C)(=O)=O)cc1,penetrating
n1([C@@H]2O[C@H](CO)C=C2)c([nH]c(=O)c(c1)C)=O,penetrating
O([C@@H]1[C@]([C@H](C)O[C@H]1O[C@H]1[C@@H]([C@H]([C@H](NC(N)=[NH2])[C@H]([C@@H]1O)O)O)NC(N)=[NH2])(C=O)O)[C@H]1[C@H]([C@@H]([C@@H](O)[C@@H](O1)CO)O)NC,nonpenetrating
c1(S(Nc2ncccn2)(=O)=O)ccc(N)cc1,penetrating
c1(S(Nc2c(c(C)no2)C)(=O)=O)ccc(N)cc1,penetrating
c1(S(Nc2cc(C)on2)(=O)=O)ccc(N)cc1,penetrating
c12c(c(c3CCCCc3n1)N)cccc2,penetrating
C(=C(/c1ccccc1)CC)(\c1ccc(OCCN(C)C)cc1)c1ccccc1,penetrating
c12C(c3ccccc3)=N[C@@H](O)C(N(c1ccc(c2)Cl)C)=O,penetrating
N12[C@@H]([C@@H](NC([C@@H](c3ccsc3)C(=O)O)=O)C2=O)SC(C)(C)[C@@-]1C(=O)O,penetrating
c12c(c(n3Cc4c(c3c2)nc2ccc(c(c2c4)CN(C)C)O)=O)COC([C@@]1(CC)O)=O,penetrating
n1([C@@H]2O[C@H](CO)CC2)c(nc(N)cc1)=O,penetrating
c12c(noc1cccc2)CS(N)(=O)=O,penetrating
C(=O)(O)[C@@H]1[C@@H]2O[C@@](C[C@H]1O)(O)C[C@H](O)C[C@H](O)[C@H](O)CC[C@H](O)C[C@@H](O)CC(=O)O[C@H](C)[C@H](C)[C@@H]([C@H](C=CC=CC=CC=CC=CC=CC=C[C@@H](C2)O[C@@H]1[C@@H](O)[C@H](N)[C@H]([C@@H](O1)C)O)C)O,nonpenetrating
C(=O)N1c2c(NC[C@H]1CNc1ccc(cc1)C(N[C@@H](CCC(=O)[O-])C([O-])=O)=O)nc(nc2O)N,penetrating
[N-]12[C@H](SCC(=C1C(=O)[O-])C[n+]1ccccc1)[C@@H](C2=O)CC(\C(c1csc(n1)N)=N/OC(C(=O)O)(C)C)=O,penetrating
c1cccc(c1)C[C@H](C)N,penetrating
Nc1c(F)cnc(n1)O,penetrating
C1CCCC2(C1)O[C@H](CO2)CNC(N)=[NH2],nonpenetrating
O=C(N(CCCl)N=O)NC1CCCCC1,penetrating
C(S([O-])(=O)=O)CS,nonpenetrating
O1[C@H]([C@H](NC(N(N=O)C)=O)[C@H]([C@@H]([C@H]1CO)O)O)O,nonpenetrating
O=C1[C@@H]2[C@H](c3c([C@@H]([C@H]2CO1)O[C@H]1O[C@@H]2[C@@H]([C@H]([C@@H]1O)O)O[C@H](OC2)c1cccs1)cc1c(c3)OCO1)c1cc(OC)c(c(c1)O)O,penetrating
P(=S)(N1CC1)(N1CC1)N1CC1,penetrating
c12cc3cc(c1O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@@H]1C[C@]([C@H]([C@@H](O1)C)O)(C)N)Oc1c(cc([C@H]([C@H](C(N[C@H](C(N[C@H]3C(N[C@H]3C(N[C@@H]([C@@H](c4cc(c(O2)cc4)Cl)O)C(N[C@H](C(O)=O)c2cc(O)cc(O)c2c2cc3ccc2O)=O)=O)=O)=O)CC(N)=O)=O)NC([C@H](NC)CC(C)C)=O)O)cc1)Cl,nonpenetrating
n1cnc2c(c1N)ncn2[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,penetrating
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,penetrating
c1(NCCSCc2oc(cc2)CN(C)C)[nH]cc(c1N(=O)=O)Cc1ccccc1,penetrating
c12c(C(N(Cc3n1cnc3c1noc(n1)C(CO)(CO)C)C)=O)c(ccc2)Cl,nonpenetrating
Cc1nc(sc1)\[NH]=C(\N)N,penetrating
c12c(C(N(Cc3n1cnc3c1noc(n1)C(O)(C)C)C)=O)c(ccc2)Cl,nonpenetrating
C1C(CCN(C1)C(NC1CCCCC1)=S)c1c[nH]cn1,penetrating
C([C@@](C(O)=O)(NN)C)c1cc(c(O)cc1)O,nonpenetrating
c1(ccc(O)c(c1)O)CCN,nonpenetrating
c1(c(ccc(c1)C[C@@H](C(O)=O)N)O)O,penetrating
c12c(c(cc(n2)C(F)(F)F)[C@@H]([C@H]2CCCCN2)O)cccc1C(F)(F)F,penetrating
c12c3c(N4CCN(C)CC4)c(F)c(c1c(ccn2[C@H](C)CO3)=O)C(O)=O,penetrating
c1(ccc2C(=NC[C@@H](N(C)c2c1)CNC(c1ccc(cc1)C)=O)c1ccc(cc1)F)C,penetrating
C1C(C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@H](CC2)C(CO)=O)C=O)C)=O,nonpenetrating
C[N@]1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c31,penetrating
c1ccc2c(c1)n(c(n2)NC1CCN(CC1)CCc1ccc(cc1)OC)Cc1ccc(cc1)F,nonpenetrating
c1(cc(c(cc1)Cl)Cl)CC(N1CCCC[C@H]1CN1CCCC1)=O,penetrating
c1(cc(c(cc1)Cl)Cl)CC(N1[C@@H](c2c(CC1)cccc2)CN1CCCC1)=O,penetrating
c1(ccc(cc1)C(F)(F)F)CC(N1[C@@H](CCCC1)CN1CCCC1)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](c2c(CC1)scc2)CN1CCCC1)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](c2c(CC1)[nH]cn2)CN1CCCC1)=O,nonpenetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](c2c(CC1)ccs2)CN1CCCC1)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](CN2CCCC2)CC(CC1)(C)C)=O,penetrating
CC(C)(C(O)=O)c1ccc(cc1)C(=O)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,nonpenetrating
c1c(ccc([C@@H](c2ccccc2)N2CCN(CC2)CCOCC(=O)O)c1)Cl,nonpenetrating
c1(c(cc2c(c1)n(cc(c2=O)C(O)=O)C1CC1)F)N1CCNCC1,nonpenetrating
C1C(C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@H]1O)([C@H](CC2)C(CO)=O)C)C)=O,nonpenetrating
C1C(C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)(C(CO)=O)O)C)C)=O,nonpenetrating
c1cn(CCO)c(CC)c(O)c1=O,nonpenetrating
c1cn(CCCCO)c(CC)c(O)c1=O,nonpenetrating
c1cn(c(c(c1=O)O)C)C,penetrating
c1cn(CC)c(c(c1=O)O)C,penetrating
c1cn(CCCC)c(C)c(O)c1=O,penetrating
c1cn(CCCCCC)c(C)c(O)c1=O,penetrating
c1cn(CCCCC)c(C)c(O)c1=O,penetrating
c1cn(CCCO)c(C)c(O)c1=O,nonpenetrating
c1cn(CC)c(CC)c(c1=O)O,penetrating
C[C@]12c3c(C[C@H]([C@H]1C)[N@](CC2)CC1CC1)ccc(c3)O,penetrating
CN1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)c1ccc(F)cc1,nonpenetrating
O(C(c1ccccc1)c1ccccc1)CCN(C)C,penetrating
CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,penetrating
c1ccc([C@H](C[N@]2CC[C@H](C2)O)N(C(Cc2ccccc2N)=O)C)cc1,nonpenetrating
c1(c(cc2c(n1)n(cc(c2=O)C(O)=O)CC)F)N1CCNCC1,nonpenetrating
c1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,penetrating
CN1CCN(CC1)c1c(F)cc2c(=O)c(cn(CCF)c2c1F)C(O)=O,nonpenetrating
OCCN1CCN(CC\C=C2/c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,penetrating
C(=O)(O)c1c(NCc2ccco2)cc(c(c1)S(N)(=O)=O)Cl,nonpenetrating
c1(cc(c(cc1)Cl)Cl)CC(N1[C@@H](CN2CCCC2)CN(CC1)C(=O)C)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](c2c(CC1)occ2)CN1CCCC1)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](CN(CC1)C(=O)OC)CN1CCCC1)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](CN(CC1)C(=O)OCC)CN1CCCC1)=O,penetrating
c1(CC(N2[C@H](CN(CC2)C(=O)OCCC)CN2CCCC2)=O)cc(c(cc1)Cl)Cl,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](c2c(CC1)occ2)C[N@@]1C[C@@H](CC1)O)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(=O)N1[C@H](CN(C(=O)C)CC1)C[N@@]1C[C@H](O)CC1,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](C2)O)=O)ccc(C(F)(F)F)cc1,nonpenetrating
c1(ccc(cc1)SC)CC(N1[C@H](CN(CC1)C(=O)C)C[N@]1CC[C@H](C1)O)=O,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](C2)O)=O)cc(cc(c1)F)F,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](C2)O)=O)cc(ccc1)OC,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](O)C2)=O)ccc(N(=O)=O)cc1,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](C2)O)=O)ccc(OC)cc1,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](O)C2)=O)cc(ccc1)N(=O)=O,nonpenetrating
c1(ccccc1)CC(N1[C@H](CN(CC1)C(=O)C)C[N@]1CC[C@H](C1)O)=O,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](O)C2)=O)ccc([S@](=O)C)cc1,nonpenetrating
c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](O)C2)=O)ccc(S(=O)(=O)C)cc1,nonpenetrating
CC(C)[C@@H](N(C)C(=O)Cc1ccc(c(c1)Cl)Cl)CN1CCCC1,penetrating
c1(ccccc1)[C@H](CN1CCCC1)N(C(=O)Cc1ccc(c(c1)Cl)Cl)C,penetrating
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc1cc(C)on1,nonpenetrating
c1cc2c(cc1O)[C@]13[C@@H]([C@@H](C2)[N@@](CC=C)CC3)CCCC1,penetrating
CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c12,nonpenetrating
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,nonpenetrating
C1Cc2c(\C(c3c1cc(cc3)Cl)=C1/CCN(CC1)C(=O)OCC)nccc2,nonpenetrating
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc1ncc(C)s1,nonpenetrating
c12[C@@]34[C@H]5[C@@H]([N@](CC=C)CC4)Cc2ccc(c1O[C@@H]3[C@@H](O)C=C5)O,penetrating
c12[C@@]34[C@]5([C@@H]([N@](CC6CC6)CC4)Cc2ccc(c1O[C@@H]3C(=O)CC5)O)O,penetrating
c1(c(cc2c(c1)n(cc(c2=O)C(O)=O)CC)F)N1CCNCC1,nonpenetrating
CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCN(C)CC1,nonpenetrating
c12c(Sc3c(N1CCCN1CCN(CC1)CCO)cc(cc3)Cl)cccc2,penetrating
c1ccc2c(c1)C(=C(N(S2(=O)=O)C)C(Nc1ncccc1)=O)O,nonpenetrating
C1[C@H]2[C@H]([C@H]3[C@]([C@@H](C(C)=O)CC3)(C)C1)CCC=1[C@@]2(CCC(C1)=O)C,penetrating
Oc1ccc2[nH]cc(CCCC[N@@]3CCC(=CC3)c3ccccc3)c2c1,penetrating
c1ccc2N([C@H](CN3CCCC3)C)c3c(ccc(C(=O)NCCC)c3)Sc2c1,penetrating
CN1CCN(CC1)c1c(F)cc2c(=O)c(cn3CCSc1c23)C(O)=O,nonpenetrating
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,nonpenetrating
c1(ccc(c(c1)Cl)Cl)CC(=O)N1[C@H](C[N@@](C)CC1)CN1CCCC1,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](CN2CCCC2)c2n(CC1)ccn2)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[C@]2(CC1)NC(NC2=O)=O)CN1CCCC1)=O,nonpenetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[C@]2(CC1)C(NC(N2)=O)=O)CN1CCCC1)=O,nonpenetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[N@@]2C[C@@H](CC2)O)c2n(CC1)ccn2)=O,nonpenetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](CN2CCCC2)c2n(CC1)ncn2)=O,penetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](C[N@@]2C[C@@H](CC2)O)C[N@](CC1)CCO)=O,nonpenetrating
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[N@@]2C[C@@H](CC2)O)c2c(CC1)[nH]cn2)=O,nonpenetrating
c1ccc2nc(c(c(C(N[C@@H](CC)c3ccccc3)=O)c2c1)O)c1ccccc1,penetrating
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(nc2cc1)c1ccccc1)OCCCN(C)C,penetrating
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(nc2cc1)c1ccccc1)OCC(O)=O,nonpenetrating
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(c3ccccc3)nc2cc1)OCCCC(O)=O,nonpenetrating
c1ccc2c(c(C(N[C@@H](CC)c3ccccc3)=O)c(OCCNC(Cc3c(cccc3)C(=O)O)=O)c(c3ccccc3)n2)c1,nonpenetrating
c1cc2c(c(OCCNC(Cc3ncccc3)=O)c(c3ccccc3)nc2cc1)C(N[C@@H](CC)c1ccccc1)=O,nonpenetrating
c1cc2c(c(c(c3ccccc3)nc2cc1)OCCNC([C@@H]1CCCN1)=O)C(=O)N[C@@H](CC)c1ccccc1,nonpenetrating
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(nc2cc1)c1ccccc1)Cn1cncc1,nonpenetrating
c1(c(c(c2c(c1F)n(cc(c2=O)C(O)=O)C1CC1)N)F)N1C[C@@H](N[C@@H](C1)C)C,nonpenetrating
CCNCc1c(CSC)cnc(C)c1O,penetrating
CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc1ccccn1,nonpenetrating
CC(C)(C)c1ccc(cc1)[C@H](O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,nonpenetrating
C1C(C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)O)C)C)=O,penetrating
C1CC[C@H]([C@@H](N(C(Cc2ccc(c(c2)Cl)Cl)=O)C)C1)N1CCCC1,penetrating
